,album_id,artist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,chart_position,monthly_listeners,followers,playcount
1449,6g9rKb1kKlh0M0mS34kCSS,2gINJ8xw86xawPyGvx1bla,Step into a World (Rapture's Delight),0.803,0.806,0,-7.805,1,0.265,0.00761,0.00544,0.101,0.624,94.994,audio_features,5xXL4i9L2ZbKBtENNh8fWY,spotify:track:5xXL4i9L2ZbKBtENNh8fWY,https://api.spotify.com/v1/tracks/5xXL4i9L2ZbKBtENNh8fWY,https://api.spotify.com/v1/audio-analysis/5xXL4i9L2ZbKBtENNh8fWY,289907,4,0,1378389,533995,30735835
1450,0SguYFOyDWomwiGSUMwe5X,5ynvmGwc83ZoRx2EIWHXLX,Watch Out Now,0.783,0.633,11,-6.983,0,0.291,0.0969,0.000994,0.154,0.913,100.428,audio_features,1n6pgjMma0nsl4jyMzmjxQ,spotify:track:1n6pgjMma0nsl4jyMzmjxQ,https://api.spotify.com/v1/tracks/1n6pgjMma0nsl4jyMzmjxQ,https://api.spotify.com/v1/audio-analysis/1n6pgjMma0nsl4jyMzmjxQ,174800,4,0,1868263,141679,18908886
1451,4KqorQ6C7yDXvqgfgGrnvm,5Va9LuEmaZxnbk1gMnjMD7,People Everyday - Metamorphosis Mix,0.844,0.609,10,-10.675,1,0.217,0.0074,0.0,0.563,0.725,91.116,audio_features,5thts3213xwSroRd11fv5A,spotify:track:5thts3213xwSroRd11fv5A,https://api.spotify.com/v1/tracks/5thts3213xwSroRd11fv5A,https://api.spotify.com/v1/audio-analysis/5thts3213xwSroRd11fv5A,296333,4,0,1056093,220793,65868992
1452,4gBlh3imgWjnD275XauGwt,6nfYGe7IIuuP5bMY1jkJP6,Money Ain't a Thang (feat. Jay-Z),0.854,0.738,6,-7.284,0,0.244,0.0581,0.0,0.106,0.847,100.0,audio_features,12LjNmRrdzhTn1vMcxN81m,spotify:track:12LjNmRrdzhTn1vMcxN81m,https://api.spotify.com/v1/tracks/12LjNmRrdzhTn1vMcxN81m,https://api.spotify.com/v1/audio-analysis/12LjNmRrdzhTn1vMcxN81m,254253,4,0,1314595,363682,40926611
1453,20t54K6C80QQH7vbcpfJcP,2wIVse2owClT7go1WT98tk,Get Ur Freak On,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,audio_features,6zsk6uF3MxfIeHPlubKBvR,spotify:track:6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/tracks/6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/audio-analysis/6zsk6uF3MxfIeHPlubKBvR,211120,4,0,6780874,1964506,212458052
1454,7AFsTiojVaB2I58oZ1tMRg,3CQIn7N5CuRDP8wEI7FiDA,Walk This Way (feat. Aerosmith),0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,audio_features,6qUEOWqOzu1rLPUPQ1ECpx,spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,https://api.spotify.com/v1/tracks/6qUEOWqOzu1rLPUPQ1ECpx,https://api.spotify.com/v1/audio-analysis/6qUEOWqOzu1rLPUPQ1ECpx,310387,4,0,4333989,1105236,191962360
1455,5nK0vU32lSmcGrglfcOfg8,3CQIn7N5CuRDP8wEI7FiDA,It's Like That,0.964,0.889,11,-5.169,1,0.147,0.0591,0.0,0.166,0.552,121.144,audio_features,2J6QnTjHIWwXErNWyF0RUC,spotify:track:2J6QnTjHIWwXErNWyF0RUC,https://api.spotify.com/v1/tracks/2J6QnTjHIWwXErNWyF0RUC,https://api.spotify.com/v1/audio-analysis/2J6QnTjHIWwXErNWyF0RUC,290280,4,0,4333989,1105236,30302973
1456,6Ev6hiPcjGeezgO0gBwkf2,3CQIn7N5CuRDP8wEI7FiDA,It's Tricky,0.964,0.913,11,-5.209,0,0.154,0.00323,0.0,0.0828,0.941,128.112,audio_features,11XA1roVykzkrQ5r7lLsIx,spotify:track:11XA1roVykzkrQ5r7lLsIx,https://api.spotify.com/v1/tracks/11XA1roVykzkrQ5r7lLsIx,https://api.spotify.com/v1/audio-analysis/11XA1roVykzkrQ5r7lLsIx,183200,4,0,4333989,1105236,203844958
1457,6Cq4aFoLu1OKc1XNZYdBnp,2OqENqJFXPORP4BUGnu2Qq,Damn! (feat. Lil' Jon) - Club Mix,0.772,0.724,6,-5.799,0,0.307,0.0149,0.0,0.355,0.518,84.038,audio_features,5TpaWJKnuyA4MjzAbFXSTQ,spotify:track:5TpaWJKnuyA4MjzAbFXSTQ,https://api.spotify.com/v1/tracks/5TpaWJKnuyA4MjzAbFXSTQ,https://api.spotify.com/v1/audio-analysis/5TpaWJKnuyA4MjzAbFXSTQ,298600,4,0,489380,489476,21222136
1458,6qzvk2A6wQpy1f69hrWj3B,0b2XeWDPeBiLeskT6RFqMb,Tonite,0.965,0.449,0,-15.225,1,0.236,0.05,1.13e-06,0.267,0.723,105.391,audio_features,2hluGQtmPypU3tsQudCQ3U,spotify:track:2hluGQtmPypU3tsQudCQ3U,https://api.spotify.com/v1/tracks/2hluGQtmPypU3tsQudCQ3U,https://api.spotify.com/v1/audio-analysis/2hluGQtmPypU3tsQudCQ3U,323267,4,0,800800,720681,18971312
